age,workclass,education-num,marital-status,occupation,race,sex,hours-per-week,income
58.0,Private,13,Never-married,Prof-specialty,White,Female,62,<=50K
24.0,Private,13,Never-married,Exec-managerial,White,Female,40,<=50K
58.0,Public,13,Married,Exec-managerial,Black,Male,40,>50K
31.0,Public,13,Never-married,Prof-specialty,White,Female,40,<=50K
45.0,Private,10,Divorced,Sales,White,Male,40,<=50K
23.0,Private,5,Separated,Other-service,White,Male,40,<=50K
39.0,Public,9,Married,Adm-clerical,Asian-Pac-Islander,Female,20,<=50K
32.0,Public,13,Never-married,Adm-clerical,White,Male,37,<=50K
36.0,Self-employed,16,Separated,Prof-specialty,White,Female,10,<=50K
20.0,Private,10,Never-married,Sales,White,Female,30,<=50K
22.0,Public,13,Never-married,Prof-specialty,White,Female,20,<=50K
60.0,Self-employed,9,Married,Craft-repair,White,Male,42,>50K
35.0,Private,12,Never-married,Other-service,White,Female,80,>50K
51.0,Self-employed,12,Divorced,Transport-moving,Black,Female,30,<=50K
47.0,Private,9,Married,Craft-repair,White,Male,40,>50K
29.0,Private,9,Never-married,Adm-clerical,White,Female,40,<=50K
25.0,Public,10,Never-married,Exec-managerial,Black,Male,40,<=50K
36.0,Private,10,Married,Craft-repair,White,Male,40,>50K
26.0,Private,10,Never-married,Sales,White,Female,15,<=50K
21.0,Private,11,Never-married,Adm-clerical,Black,Female,35,<=50K
38.0,Self-employed,13,Married,Exec-managerial,Asian-Pac-Islander,Male,65,>50K
30.0,Public,15,Never-married,Prof-specialty,Black,Female,40,<=50K
17.0,Private,7,Never-married,Other-service,Black,Female,25,<=50K
36.0,Private,11,Married,Adm-clerical,White,Male,40,>50K
19.0,Self-employed,10,Never-married,Sales,White,Female,16,<=50K
21.0,Private,10,Never-married,Other-service,White,Female,25,<=50K
31.0,Private,9,Divorced,Sales,White,Female,32,<=50K
41.0,Private,13,Married,Sales,White,Male,40,>50K
56.0,Private,9,Married,Craft-repair,White,Male,48,>50K
32.0,Private,9,Married-spouse-absent,Other-service,White,Female,20,<=50K
31.0,Private,9,Married,Adm-clerical,White,Female,37,<=50K
22.0,Private,9,Married,Other-service,White,Male,50,<=50K
26.0,Private,11,Married,Exec-managerial,White,Female,40,<=50K
29.0,Private,9,Married,Transport-moving,White,Male,40,<=50K
73.0,Self-employed,4,Married,Farming-fishing,White,Male,40,<=50K
55.0,Self-employed,12,Married,Sales,White,Male,60,<=50K
47.0,Private,5,Married-spouse-absent,Handlers-cleaners,White,Male,40,<=50K
31.0,Private,13,Separated,Exec-managerial,White,Female,70,<=50K
28.0,Self-employed,10,Never-married,Exec-managerial,White,Male,50,<=50K
61.0,Self-employed,16,Married,Exec-managerial,Asian-Pac-Islander,Male,40,>50K
59.0,Public,9,Separated,Protective-serv,Black,Female,40,<=50K
18.0,Private,10,Never-married,Sales,White,Female,30,<=50K
37.0,Public,10,Separated,Adm-clerical,White,Female,40,<=50K
23.0,Private,13,Never-married,Prof-specialty,White,Female,40,<=50K
19.0,Private,9,Never-married,Machine-op-inspct,White,Female,60,<=50K
33.0,Private,9,Divorced,Other-service,White,Female,40,<=50K
53.0,Self-employed,9,Married,Sales,White,Male,35,<=50K
20.0,Private,10,Never-married,Adm-clerical,White,Male,25,<=50K
18.0,Private,8,Never-married,Other-service,White,Female,20,<=50K
46.0,Public,14,Divorced,Prof-specialty,White,Female,50,<=50K
50.0,Private,13,Married,Farming-fishing,White,Male,45,>50K
20.0,Private,10,Never-married,Handlers-cleaners,White,Male,30,<=50K
32.0,Private,14,Never-married,Exec-managerial,White,Female,45,>50K
65.0,Private,10,Married,Exec-managerial,White,Female,40,<=50K
24.0,Private,9,Never-married,Sales,White,Male,30,<=50K
39.0,Private,9,Married,Sales,White,Male,40,>50K
31.0,Public,10,Never-married,Adm-clerical,Amer-Indian-Eskimo,Female,25,<=50K
21.0,Private,10,Never-married,Other-service,White,Female,40,<=50K
50.0,Self-employed,15,Married,Prof-specialty,White,Male,40,>50K
38.0,Private,10,Married,Prof-specialty,White,Male,40,<=50K
44.0,Private,10,Divorced,Craft-repair,White,Male,55,<=50K
38.0,Self-employed,13,Married,Adm-clerical,White,Female,28,>50K
30.0,Private,13,Never-married,Sales,White,Male,65,<=50K
50.0,Private,9,Married,Farming-fishing,White,Male,35,<=50K
32.0,Self-employed,13,Married,Prof-specialty,White,Female,8,>50K
22.0,Private,9,Never-married,Other-service,White,Female,40,<=50K
20.0,Private,5,Never-married,Other-service,White,Male,30,<=50K
42.0,Public,10,Married,Adm-clerical,White,Female,40,<=50K
22.0,Private,13,Never-married,Exec-managerial,White,Female,20,<=50K
33.0,Self-employed,10,Married,Exec-managerial,White,Male,45,<=50K
36.0,Private,13,Married,Sales,White,Male,45,>50K
29.0,Private,4,Married,Farming-fishing,White,Male,40,<=50K
58.0,Private,13,Married,Machine-op-inspct,White,Male,40,>50K
22.0,Private,10,Never-married,Other-service,White,Female,25,<=50K
75.0,Public,16,Married,Prof-specialty,Black,Male,20,>50K
37.0,Public,10,Married,Craft-repair,White,Male,40,<=50K
49.0,Private,9,Widowed,Adm-clerical,White,Female,20,<=50K
39.0,Private,9,Separated,Other-service,White,Female,40,<=50K
42.0,Private,9,Married,Machine-op-inspct,White,Male,40,<=50K
42.0,Private,13,Married,Prof-specialty,White,Male,45,>50K
51.0,Self-employed,10,Divorced,Exec-managerial,White,Female,50,<=50K
61.0,Private,9,Separated,Transport-moving,Asian-Pac-Islander,Male,45,>50K
90.0,Private,13,Never-married,Exec-managerial,White,Male,55,<=50K
38.0,Private,9,Married,Exec-managerial,White,Male,55,>50K
19.0,Private,10,Never-married,Other-service,White,Female,40,<=50K
43.0,Private,6,Married,Machine-op-inspct,Black,Male,40,>50K
46.0,Public,13,Divorced,Prof-specialty,White,Female,43,<=50K
32.0,Private,10,Married,Sales,Asian-Pac-Islander,Female,40,<=50K
43.0,Private,11,Married,Craft-repair,White,Male,40,<=50K
61.0,Private,3,Married,Handlers-cleaners,Asian-Pac-Islander,Male,40,>50K
65.0,Private,10,Married,Handlers-cleaners,White,Male,27,<=50K
41.0,Private,9,Married,Transport-moving,White,Male,45,>50K
20.0,Private,9,Never-married,Machine-op-inspct,Black,Male,40,<=50K
39.0,Self-employed,12,Married,Sales,White,Male,48,>50K
41.0,Self-employed,9,Married,Farming-fishing,White,Male,60,<=50K
37.0,Private,10,Married,Exec-managerial,White,Male,40,<=50K
68.0,Private,9,Widowed,Other-service,White,Female,7,<=50K
21.0,Private,10,Never-married,Other-service,White,Female,30,<=50K
50.0,Self-employed,7,Never-married,Exec-managerial,White,Male,40,>50K
38.0,Private,9,Divorced,Craft-repair,Black,Male,40,<=50K
31.0,Private,10,Married,Adm-clerical,White,Female,20,<=50K
37.0,Self-employed,5,Married,Transport-moving,White,Male,70,>50K
28.0,Private,10,Never-married,Sales,White,Female,40,<=50K
35.0,Public,10,Married,Protective-serv,White,Male,61,>50K
33.0,Public,13,Never-married,Tech-support,Black,Male,52,>50K
60.0,Private,5,Married,Craft-repair,White,Male,40,<=50K
46.0,Private,4,Married,Prof-specialty,White,Female,45,<=50K
