age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
39,Public,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,40,United-States,<=50K
50,Self-employed,Bachelors,13,Married,Exec-managerial,Husband,White,Male,13,United-States,<=50K
38,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,40,United-States,<=50K
53,Private,11th,7,Married,Handlers-cleaners,Husband,Black,Male,40,United-States,<=50K
28,Private,Bachelors,13,Married,Prof-specialty,Wife,Black,Female,40,Cuba,<=50K
37,Private,Masters,14,Married,Exec-managerial,Wife,White,Female,40,United-States,<=50K
49,Private,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black,Female,16,Jamaica,<=50K
52,Self-employed,HS-grad,9,Married,Exec-managerial,Husband,White,Male,45,United-States,>50K
31,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K
42,Private,Bachelors,13,Married,Exec-managerial,Husband,White,Male,40,United-States,>50K
37,Private,Some-college,10,Married,Exec-managerial,Husband,Black,Male,80,United-States,>50K
30,Public,Bachelors,13,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,40,India,>50K
23,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,30,United-States,<=50K
32,Private,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black,Male,50,United-States,<=50K
40,Private,Assoc-voc,11,Married,Craft-repair,Husband,Asian-Pac-Islander,Male,40,?,>50K
34,Private,7th-8th,4,Married,Transport-moving,Husband,Amer-Indian-Eskimo,Male,45,Mexico,<=50K
25,Self-employed,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,35,United-States,<=50K
32,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,United-States,<=50K
38,Private,11th,7,Married,Sales,Husband,White,Male,50,United-States,<=50K
43,Self-employed,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,45,United-States,>50K
40,Private,Doctorate,16,Married,Prof-specialty,Husband,White,Male,60,United-States,>50K
54,Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,20,United-States,<=50K
35,Public,9th,5,Married,Farming-fishing,Husband,Black,Male,40,United-States,<=50K
?,Private,11th,7,Married,Transport-moving,Husband,White,Male,40,United-States,<=50K
59,Private,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,40,United-States,<=50K
56,Public,Bachelors,13,Married,Tech-support,Husband,White,Male,40,United-States,>50K
19,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,40,United-States,<=50K
54,?,Some-college,10,Married,?,Husband,Asian-Pac-Islander,Male,60,South,>50K
